,Satisfaction,Project,Leader,Growth,D&I,Communication,RS Community: Team Project,RS Community: Bonding,RS Community: Tech Community,RS Community: Overall
Satisfaction,1.0,,,,,,,,,
Project,-0.02,1.0,,,,,,,,
Leader,-0.09,-0.25,1.0,,,,,,,
Growth,-0.12,-0.23,0.03,1.0,,,,,,
D&I,-0.28,0.22,0.22,-0.03,1.0,,,,,
Communication,0.06,-0.25,0.03,0.0,0.29,1.0,,,,
RS Community: Team Project,-0.15,-0.2,0.11,0.23,-0.06,0.07,1.0,,,
RS Community: Bonding,-0.24,-0.2,0.33,0.6,0.43,0.18,0.34,1.0,,
RS Community: Tech Community,0.42,0.08,0.24,0.41,0.13,0.07,-0.13,0.23,1.0,
RS Community: Overall,-0.13,0.05,-0.35,0.03,0.07,0.09,-0.23,0.04,0.01,1.0
